OTUId	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S70	S71	S72	S73	S74	S75	S76	S77	S78	S79	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S90	S91	S92	S93	S94	S95	S96	S97	S98	S99	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S159	S160	S161	S162	S163	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S178	S179	S180	S181	S182	S183	S184	S185	S186	S187	S188	S189	S190	S191	S192	S193	S194	S195	S196	S197	S198	S199	S200	S201	S202	S203	S204	S205	S206	S207	S208	S209	S210	S211	S212	S213	S214	S215	S216	S217	S218	S219	S220	S221	S222	S223	S224	S225	S226	S227	S228	S229	S230	S231	S232	S233	S234	S235	S236	S237	S238	S239	S240	S241	S242	S243	S244	S245	S246	S247	S248	S249	S250	S251	S252	S253	S254	S255	S256	S257	S258	S259	S260	S261	S262	S263	S264	S265	S266	S267	S268	S269	S270	S271	S272	S273	S274	S275	S276	S277	S278	S279	S280	S281	S282	S283	S284	S285	S286	S287	S288	S289	S290	S291	S292	S293	S294	S295	S296	S297	S298	S299	S300	S301	S302	S303	S304	S305	S306	S307	S308	S309	S310	S311	S312	S313	S314	S315	S316	S317	S318	S319	S320	S321	S322	S323	S324	S325	S326	S327	S328	S329	S330	S331	S332	S333	S334	S335	S336	S337	S338	S339	S340	S341	S342	S343	S344	S345	S346	S347	S348	S349	S350	S351	S352
OTU_64	0	4	0	0	0	0	3	14	0	1	2	5	0	1	2	1	23	5	0	1	1	0	0	114	37	0	64	1	1	5	0	11	52	0	3	0	1	1	0	0	0	15	1	9	0	0	0	2	12	0	2	189	0	8	0	2	20	0	2	0	3	21	0	0	10	10	0	0	16	0	0	1	3	1	0	0	0	13	0	0	0	9	0	0	0	19	2	0	7	1	1	2	6	2	0	0	1	0	0	0	0	0	0	0	29	3	15	0	0	7	0	0	0	41	24	2	0	0	2	44	0	19	1	13	0	0	20	4	19	0	3	1	1	0	0	3	0	0	15	3	0	0	1	12	5	3	0	1	37	16	8	0	0	0	15	36	19	0	1	9	1	0	8	0	13	6	41	16	0	21	157	0	10	0	0	0	12	114	1	33	0	23	0	0	10	3	1	2	9	0	22	9	2	0	0	2	0	0	143	2	3	13	3	2	0	22	4	14	2	0	0	0	2	9	7	0	5	8	1	0	0	0	6	1	6	1	1	0	0	180	52	2	1	0	10	0	0	15	3	0	101	0	6	0	2	10	5	3	32	0	0	0	0	0	0	0	0	1	7	39	0	5	0	3	29	0	0	0	3	0	1	29	0	6	0	1	5	2	0	2	2	3	0	0	2	0	28	1	1	0	0	0	0	1	9	0	0	23	0	24	0	0	1	10	0	0	0	0	3	6	0	12	0	18	2	1	0	0	0	0	0	0	7	0	13	40	6	4	6	27	0	0	0	0	18	0	0	0	0	6	0	0	1	21	0	0	2	8	1	17	12	0
OTU_17	0	2	688	2	64	0	17	59	92	1	10	66	4	15	9	0	26	60	1	0	2	1	59	84	24	12	325	5	1	11	0	699	155	3	1	15	1	4	0	0	0	71	0	16	0	2	3	14	6	7	20	106	6	203	0	0	5	2	19	27	6	2	1	0	0	35	11	99	209	1	0	11	7	2	27	35	5	50	37	0	0	16	3	9	906	36	14	0	47	0	167	120	0	427	0	19	63	4	18	5	142	1	0	0	77	13	140	0	0	14	36	2	31	20	71	5	20	20	4	77	7	123	9	95	4	1	6	2	27	4	112	23	2	69	3	5	0	32	69	6	11	18	0	23	13	210	0	0	121	66	15	0	9	68	49	183	9	0	4	14	1	0	21	0	42	38	195	32	1	38	44	20	143	5	19	0	15	200	0	31	12	200	1	0	190	6	23	43	4	13	6	60	34	0	36	18	1	9	399	11	2	20	28	1	0	85	0	16	1	1	0	0	7	21	11	0	19	12	894	10	3	0	10	22	70	9	5	0	0	329	115	32	52	17	24	0	265	22	258	0	271	291	60	5	40	76	161	290	316	22	6	1	0	140	41	0	17	1	17	106	0	1011	2	49	216	1	15	0	9	18	38	58	13	18	37	4	31	0	20	0	10	9	9	26	67	16	86	12	21	37	6	0	151	29	14	0	1	5	22	19	27	0	193	257	0	0	15	5	22	3	14	4	2	18	2	13	21	55	1	2	0	0	9	0	68	111	47	10	25	59	3	5	15	5	20	1	0	27	0	4	2	1	17	192	22	0	1	0	0	33	31	0
OTU_57	0	3	0	0	0	0	3	1	0	0	0	0	1	4	0	32	1	0	0	0	0	3	0	0	4	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	26	0	0	2	0	11	0	0	0	0	1	0	0	1	0	0	19	0	0	2	0	0	0	0	0	0	1	0	0	0	0	3	0	2	0	0	0	1	2	1	0	0	5	1	0	1	0	0	64	0	0	0	0	0	0	0	2	0	0	5	0	4	0	0	1	0	15	1	0	1	0	0	0	0	27	0	0	2	0	0	1	0	0	2	0	0	1	4	2	0	0	0	0	0	2	3	0	0	0	0	0	0	1	0	0	5	0	0	1	2	0	0	10	0	0	0	0	0	5	25	0	0	0	1	0	0	0	0	0	0	0	10	0	4	0	0	0	9	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	5	1	0	18	0	4	0	1	0	0	0	0	13	1	0	0	1	0	1	1	0	1	4	0	21	1	0	0	52	0	0	0	100	0	1	0	11	0	0	15	0	0	0	0	3	0	24	0	0	0	0	0	0	0	0	0	0	14	0	1	1	1	0	0	0	0	0	0	1	0	0	0	269	0	0	0	0	0	0	0	0	39	302	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	2	0	3	0	0	0	0	0	0	2	0	31	0	0	0	0	50	0	0	8	0	0	0	2	0	0	2	0	0	3	0	0	0	0	0	0	1	0	0
OTU_27	0	5	0	0	0	3	3	0	0	0	0	0	1	4	0	2	8	124	1	0	3	0	0	0	0	4	215	5	0	14	0	0	52	0	0	0	6	0	0	1	6	1	2	2	0	2	2	2	11	1	0	0	0	75	0	5	47	1	0	66	5	2	0	0	0	1	2	45	11	0	3	0	0	0	1	0	2	6	4	1	2	1	0	0	0	55	33	0	8	2	2	108	0	9	2	2	432	16	0	1	0	4	0	0	0	29	0	6	0	18	5	16	2	0	121	1	0	0	2	21	4	1	0	0	6	131	3	1	0	2	15	16	1	0	1	1	0	21	1	0	0	46	1	0	6	0	4	16	15	36	0	0	1	1	15	5	6	8	0	0	401	0	5	4	0	0	9	9	1	0	77	5	1	3	0	0	2	35	0	0	0	5	1	0	0	33	4	0	1	0	0	35	0	4	16	0	0	0	7	0	1	0	1	0	0	13	0	1	1	242	0	0	2	20	119	6	12	2	0	0	0	3	0	3	231	2	1	17	0	0	83	0	0	0	0	0	1	0	0	1	0	0	3	0	2	4	40	4	0	30	0	2	0	0	0	0	2	1	0	0	0	24	2	3	22	0	0	1	13	0	2	24	0	13	0	6	2	0	6	2	0	3	0	0	5	0	0	3	0	1	2	0	0	6	0	0	2	4	0	1	2	0	40	7	0	0	3	0	1	1	1	102	2	4	0	2	1	2	1	0	0	14	5	0	42	3	2	10	8	1	0	52	8	0	53	1	1	0	0	0	1	46	0	0	21	0	4	0	0	5	11	0
OTU_4	0	5	1287	48	1	120	802	1670	109	6	0	4003	540	202	352	1320	529	969	17	13	1339	0	782	649	716	84	1059	250	4	568	3	53	520	663	137	34	2359	1	3	39	1174	360	0	981	6	5	57	595	58	2074	947	322	1241	748	271	0	839	6	134	324	67	80	620	0	377	1515	25	3	7	4	5	297	2301	514	1102	1746	58	1239	1197	188	1808	315	164	32	2769	583	45	42	892	23	212	289	10	2410	0	504	15	283	2	3	956	1	1111	2	2559	399	55	635	0	31	850	864	306	2	420	497	98	67	3	360	107	2678	625	719	867	626	224	3	2481	116	366	3273	73	6270	161	1	1	157	968	15	117	3	648	8819	1055	2	46	53	230	1161	1058	0	247	10	179	528	471	4	161	42	967	0	1062	5	966	132	380	1	2	15	1	57	2855	113	23	0	543	3109	8	68	1	1113	4250	1	471	44	126	420	344	157	771	64	18	0	176	105	31	215	732	114	13	1867	1	522	2	426	1	1	404	10	9	1	75	514	27	314	0	123	836	5	4	39	15	659	135	50	14	1	0	8	2504	19	32	16	200	0	536	1104	614	1028	31	0	147	3	97	1	356	590	469	125	3163	782	0	135	159	1	684	37	4535	2080	312	4511	240	0	174	81	184	2	809	89	36	617	69	44	356	1805	108	3	99	513	40	1132	3866	4	2212	0	4496	3	177	955	18	11	9950	13	26	3	4	2	159	370	0	4	179	112	18	2236	4	469	1692	94	240	1232	77	452	0	13	2075	1998	46	1	3	1747	84	0	1326	78	724	522	457	350	9	28	147	47	79	1	0	0	0	22	524	359	602	4844	0	133	2	2	19	344	1299	181
OTU_22	0	1	0	0	1	0	0	77	0	701	0	7	19	166	0	1	33	3	0	5	6	0	0	37	7	0	2	0	0	4	7	0	1	0	0	5	8	0	1	0	702	0	0	3	0	10	8	0	2	0	0	6	0	2	1	2	1	0	0	19	0	6	0	0	4	2	0	25	0	9	0	1	1	0	11	0	0	4	0	8	1	1	0	0	1	6	4	0	3	13	0	3	1	5	2	0	0	1	0	0	8	1	0	1	0	3	3	1	0	257	0	85	0	0	56	1	1	50	0	34	0	0	92	157	2	84	4	0	0	1	0	2	2	0	3	0	0	0	0	0	4	2	5	0	0	0	0	0	1	5	0	0	0	0	0	0	54	2	5	3	35	0	25	0	13	0	4	0	0	0	0	2	6	0	20	10	1	5	1	37	0	0	0	0	1	2	0	1	6	0	1	8	0	0	0	0	1	0	1	10	2	8	0	2	5	0	0	13	0	4	0	7	0	0	0	0	5	75	1	0	13	0	0	13	11	4	8	29	0	0	20	0	0	0	0	0	5	1	0	5	4	0	0	0	12	0	2	4	0	14	35	0	1	10	1	7	0	4	10	1	0	1	11	0	11	6	0	1	0	0	0	9	0	35	1	2	0	0	0	0	27	2	0	0	0	2	1	0	2	0	2	4	22	1	0	0	1	0	201	0	1	0	4	0	0	0	0	477	3	5	0	0	0	11	0	1	1	1	0	0	1	0	6	0	0	56	0	0	0	1457	2	0	2	0	20	8	4	0	0	2	0	0	21	0	0	0	0	10	0	13	27	0
OTU_651	0	1	0	0	1	0	0	0	0	1	2	0	0	5	0	0	0	0	0	0	6	2	0	0	1	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	16	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	18	0	0	40	1	0	0	1	1	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	4	0	0	0	0	0	2	0	3	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	11	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	5	0	2	0	0	0	33	0	0	0	1	0	0	0	2	1	0	0	2	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	2	1	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	3	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
OTU_79	0	1	0	5	0	0	0	0	0	0	3	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	3	0	0	226	0	22	0	0	0	1	1	0	0	0	3	2	2	0	0	0	3	0	8	0	1	1	1	6	0	0	6	0	0	3	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	1	2	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	3	2	0	24	1	0	0	0	0	5	0	0	3	0	2	0	0	0	2	0	0	5	0	0	1	0	0	0	0	0	1	3	0	0	0	2	0	1	0	1	0	0	2	12	0	2	0	0	2	3	0	1	0	1	7	0	1	1	0	2	0	17	3	1	1	0	0	5	0	1	0	0	0	1	0	0	0	0	0	2	4	1	1	0	0	0	0	2	1	0	7	0	2	1	0	0	0	0	2	2	3	7	1	1	1	0	0	0	2	0	0	0	106	0	1	1	2	0	0	1	8	1	1	20	0	0	0	0	0	0	3	1	1	6	2	0	1	3	0	0	0	0	0	0	2	31	0	4	16	0	0	0	0	0	1	0	0	1	0	0	0	0	0	22	0	0	0	2	2	0	0	0	9	0	0	0	1	0	4	1	1	9	2	0	0	0	0	1	0	0	0	0	4	0	0	3	0	1	1	0	3	11	0	0	0	1	0	0	0	0	1	3	0	0	0	3	0	0	1	0	5	1	1	0	0	3	0	0	1	5	0	3	6	0	1	0	0	3	0	0	1	0	0	3	1	0	0	0	2	0	0	15	0	0	11	0	0	0	6
OTU_1387	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_1009	0	1	0	0	3	5	2	4	0	0	0	11	0	1	4	0	2	1	0	0	10	0	0	3	6	0	1	0	0	2	0	0	4	0	1	0	8	1	0	0	3	2	0	1	0	0	0	0	0	8	1	11	9	9	1	0	11	0	0	1	1	0	0	0	0	20	0	0	5	0	0	0	7	0	0	0	0	6	3	0	14	1	0	0	1	3	1	0	8	0	0	8	0	15	0	0	1	1	2	1	6	0	0	0	3	1	0	0	0	0	3	0	0	0	11	1	1	0	1	0	1	6	0	7	5	1	1	0	1	0	4	1	0	19	0	0	0	1	1	1	0	0	0	17	4	1	0	0	3	0	11	0	1	0	0	2	1	0	2	2	0	0	1	1	1	0	9	0	0	1	0	1	14	3	0	0	5	6	0	0	0	18	1	0	4	0	2	1	0	1	3	0	2	0	0	1	3	1	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	1	1	1	4	0	0	0	0	1	6	0	0	1	0	0	20	2	1	5	0	1	0	0	0	0	9	5	1	0	3	0	0	4	0	0	1	4	4	7	0	7	0	1	6	0	0	0	1	0	0	1	0	0	0	5	1	0	0	4	0	1	3	0	0	0	6	1	0	0	0	0	15	0	0	0	0	0	3	3	0	0	3	0	0	1	0	0	9	0	0	5	2	0	0	2	16	3	0	0	0	0	4	0	7	0	0	6	0	5	0	0	0	0	0	0	0	2	0	1	0	5	0	7	1	0	0	0	0	2	6	0
OTU_97	0	1	0	0	1	0	0	0	0	3	1	0	0	1	0	0	38	3	3	1	0	3	0	0	1	0	5	1	0	2	11	0	7	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	28	0	0	0	1	2	0	0	0	3	3	0	0	3	0	1	1	15	0	0	0	0	0	1	0	0	0	0	0	0	2	5	0	0	4	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	11	2	0	0	0	2	0	0	0	0	2	1	2	0	1	1	0	0	0	0	0	0	11	1	0	0	0	5	0	0	1	1	7	3	0	1	6	0	0	0	0	0	3	0	0	1	15	0	0	0	0	0	2	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	22	0	2	0	56	1	0	0	2	6	0	0	1	0	0	0	0	0	1	2	1	0	9	0	0	5	0	0	0	0	0	4	2	5	0	3	0	0	0	18	1	1	0	0	0	0	0	0	0	7	0	1	0	0	0	2	3	1	0	2	0	1	0	0	0	0	2	3	0	0	0	0	1	0	1	2	0	0	0	0	2	0	0	1	0	1	0	0	8	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	5	0	0	9	0	0	0	0	0	2	0	1	10	0	0	0	0	1	1	3	1	0	0	0	0	0	0	0	2	1
OTU_85	0	2	13	3	0	0	0	8	0	0	0	2	3	2	3	1	1	2	0	1	0	0	0	6	1	0	4	0	0	2	2	0	0	0	0	0	0	1	0	0	2	1	6	1	0	0	2	0	0	0	0	29	0	0	7	0	3	2	0	0	3	3	0	6	0	1	1	0	2	0	0	0	0	0	3	0	1	3	0	3	0	0	2	0	0	0	4	0	0	0	0	0	0	0	17	0	2	1	0	0	2	1	0	0	3	8	0	0	0	0	43	2	1	0	1	0	0	0	1	0	0	0	1	0	2	41	1	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	1	0	0	1	80	1	7	3	0	7	0	0	0	4	3	7	0	431	1	1	3	0	0	10	0	0	0	49	2	2	0	1	3	0	0	5	9	0	0	0	0	0	5	1	0	0	1	0	7	2	12	1	19	0	1	0	0	0	6	1	0	0	176	0	3	0	8	0	6	3	16	0	8	4	3	0	0	4	0	2	2	0	0	5	3	1	0	10	0	1	0	88	1	4	0	2	0	0	2	0	0	0	1	2	0	0	1	0	8	0	2	3	0	0	0	0	0	2	1	4	1	0	0	0	0	4	14	0	1	15	3	8	0	1	0	0	0	0	1	0	0	4	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	869	0	0	0	0	0	0	0	0	2	0	2	14	0	1	0	1	5	8	0	2	0	0	1	13	0	0	11	0	0	0	3	1	0	0	0	4	0	0	3	0	1	10	0	0	0	4
OTU_489	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_758	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_588	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_202	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1105	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	5	1	0	1	0	2	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	1	1	0	0	3	1	1	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	4	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	5	0	0	0	4	0	0	1	0	0	0	0	3	0	3	2	1	0	0	0	0	0	4	1	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0
OTU_44	0	1	0	0	2	1	0	3	0	3	0	0	3	3	20	3	7	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	2	5	5	0	0	1	1	0	1	11	1	0	5	0	0	0	0	0	2	0	34	2	0	0	0	0	0	0	1	5	1	2	0	0	0	1	0	3	0	4	0	0	0	0	0	0	0	2	0	0	0	5	13	0	0	0	0	4	0	0	0	1	0	19	0	1	29	11	3	1	5	1	0	0	2	0	0	0	0	1	1	0	1	0	0	2	894	0	3	0	0	3	2	0	0	0	20	0	0	13	0	10	0	2	0	2	0	0	1	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	34	0	0	0	0	0	1	113	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	1	0	1	0	0	0	0	0	4	0	0	0	28	5	0	2	0	0	0	7	16	4	0	0	1	0	0	0	1	0	2	4	0	1	0	0	4	25	1	0	0	0	0	9	0	0	3	0	5	2	0	9	0	0	0	0	2	0	0	0	282	0	1	0	0	1	1	0	1	2	2	2	0	6	0	0	10	4	2	0	0	84	0	43	0	0	0	0	0	0	0	14	0	0	1	0	0	0	0	7	51	0	0	1	0	0	0	1	0	0	1	0	1	0	24	7	1	0	0	0	0	2	6	0	8	0	1	0	0	1	0	1	0	1	2	11	0	1	0	0	22	27	0	0	2	2	2	4	0	0	0	0	0	7	0	0	0	0	2
